name,link
"Kindle (10th Gen), 6"" Display with Built-in Light,WiFi (Black)",https://amazon.in/Staging-Product-Not-Retail-Sale/dp/B07FQ4Q7MB/ref=sr_1_1?dchild=1&keywords=kindle+reader&qid=1625553614&sr=8-1
"Kindle Paperwhite (10th gen) - with Built-in Light, Waterproof, 8 GB, WiFi",https://amazon.in/All-New-Kindle-Paperwhite-10th-Built/dp/B077454Z99/ref=sr_1_2?dchild=1&keywords=kindle+reader&qid=1625553614&sr=8-2
"Kindle (10th Gen), 6"" Display with Built-in Light, WiFi (White)",https://amazon.in/Staging-Product-Not-Retail-Sale/dp/B07FQ4Q5DH/ref=sr_1_3?dchild=1&keywords=kindle+reader&qid=1625553614&sr=8-3
"Kindle Paperwhite (10th gen) -with Built-in Light, Waterproof, 32 GB, WiFi + Free 4G LTE",https://amazon.in/All-New-Kindle-Paperwhite-10th-Built/dp/B077498K1F/ref=sr_1_4?dchild=1&keywords=kindle+reader&qid=1625553614&sr=8-4
"All-New Kindle Oasis (10th Gen) - Now with adjustable warm light, 7"" Display, 8 GB, WiFi (Graphite)",https://amazon.in/All-new-Kindle-Oasis/dp/B07L5HHTDX/ref=sr_1_5?dchild=1&keywords=kindle+reader&qid=1625553614&sr=8-5
"All-New Kindle Oasis (10th Gen) - Now with adjustable warm light, 7"" Display, 32 GB, WiFi + Free 4G (Graphite)",https://amazon.in/All-new-Kindle-Oasis/dp/B07L5G6M1R/ref=sr_1_6?dchild=1&keywords=kindle+reader&qid=1625553614&sr=8-6
"All-New Kindle Oasis (10th Gen) - Now with adjustable warm light, 7"" Display, 32 GB, WiFi (Champagne Gold)",https://amazon.in/All-new-Kindle-Oasis/dp/B07L5JKKG8/ref=sr_1_7?dchild=1&keywords=kindle+reader&qid=1625553614&sr=8-7
"Kindle Paperwhite 3G (7th gen), 6"" High Resolution Display with Built-in Light, 4GB, Wi-Fi + Free 3G",https://amazon.in/Kindle-Paperwhite-Resolution-Display-Built/dp/B00QJDO6SE/ref=sr_1_8?dchild=1&keywords=kindle+reader&qid=1625553614&sr=8-8
Kindle E-reader 8th generation!!,https://amazon.in/Kindle-E-reader-8th-generation/dp/B073QM671V/ref=sr_1_9?dchild=1&keywords=kindle+reader&qid=1625553614&sr=8-9
Kindle Reader,https://amazon.in/Kindle-Reader-Peter-Richardson/dp/1505891337/ref=sr_1_10?dchild=1&keywords=kindle+reader&qid=1625553614&sr=8-10
Neoskin Kobo/Kindle Calm & Carry on,https://amazon.in/Neoskin-Kobo-Kindle-Calm-Carry/dp/1441308512/ref=sr_1_11?dchild=1&keywords=kindle+reader&qid=1625553614&sr=8-11
"Το Ἐνυπνιον. [Translated by Ch. A. Parmenides. Originally published in The Prisoner of Chillon, and other poems.]",https://amazon.in/Translated-Parmenides-Originally-Published-Prisoner/dp/1241787336/ref=sr_1_12?dchild=1&keywords=kindle+reader&qid=1625553614&sr=8-12
Magic Library: A Jacob's Ladder for Book Lovers,https://amazon.in/Magic-Library-Jacobs-Ladder-Lovers/dp/1452164800/ref=sr_1_13?dchild=1&keywords=kindle+reader&qid=1625553614&sr=8-13
Defective Detectives - 2: Nothing Is As It Seems,https://amazon.in/Defective-Detectives-Nothing-As-Seems/dp/B07NDWKGVM/ref=sr_1_14?dchild=1&keywords=kindle+reader&qid=1625553614&sr=8-14
Mind Your Manners,https://amazon.in/Mind-Your-Manners-Heather-Brown/dp/1505012058/ref=sr_1_15?dchild=1&keywords=kindle+reader&qid=1625553614&sr=8-15
Mighty Bright-Blk-Ultra-Lght (Untrathin),https://amazon.in/Ultrathin-Book-Light-Black-Untrathin/dp/1935009184/ref=sr_1_16?dchild=1&keywords=kindle+reader&qid=1625553614&sr=8-16
